"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"13930","921318079224987876121500162082812310019822","4060741400005179325","4060741400375569062","Production","Full-time employee","Salesforce","Digital Engagement","1617321600000000","","true","1617321600000000","1717200000000000"
"13931","6354786792931733313278469761033477","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1612137600000000","","true","1611936000000000","1717200000000000"
"13932","14030034706566646509210295526204841629733","4000741400001402373","4060741400305564679","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1547424000000000","","true","1545751501000000","1717200000000000"
"13933","5818633615618470953929733147350406747","4060741400005179325","4060741400378686796","Production","Full-time employee","Data Analytics","Data","1597017600000000","","true","1596466200000000","1717200000000000"
"13934","1821131246619529289803880541354614735","4000741400001402409","4060741400347222901","Production","Full-time employee","Global Delivery","Global Delivery","1501545600000000","","true","1498822575000000","1717200102163000"
"13935","27763732301053185922406295566265600899","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1566172800000000","","true","1565177401000000","1717209514260000"
"13936","09461670600090518904999314070411149704996","4000741400001402409","4060741400007923359","Production","Full-time employee","Commerce","Digital Engagement","1621209600000000","","true","1620821400000000","1717247605289000"
"13937","201196253714830242298419384586200553","4060741400007382351","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1498867200000000","","true","1492692498000000","1717253073357000"
"13938","0443458295015734551608360056507810787132","1013","7770000000002524013","Production","Full-time employee","Global Delivery","Global Delivery","1717372800000000","","false","1716981061285000","1717288251283000"
"13939","0683782354732465444460973716240142950140796","4060741400007382353","4060741400034944001","Production","Full-time employee","Global Delivery","Global Delivery","1608249600000000","","true","1608213600000000","1717301009210000"
"13940","6896595821652629467707693495933703843647","1013","4060741400013754450","Production","Full-time employee","Mobility","Digital Engagement","1548979200000000","","true","1547819700000000","1717301146461000"
"13941","6635535354784687830221120126494245185","4060741400309298943","4060741400007923380","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1647820800000000","","true","1647614100000000","1717418121287000"
"13942","1339690463568509910280222299719956","4060741400334097633","4060741400376314387","Non-production","Full-time employee","People Management","General and Administrative","1687996800000000","","true","1687818608283000","1717483980803000"
"13943","8293899647392686680023004431818","4060741400335633828","4060741400044112185","Production","Full-time employee","Global Delivery","Global Delivery","1641168000000000","","true","1639508102000000","1717500006332000"
"13944","403535731090746319088711422208696415057107","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1717977600000000","","false","1717502644617000","1717503226126000"
"13945","214997115113315793558486017563038129556","4060741400034237214","4060741400034944001","Production","Full-time employee","Cloud AppEng","Cloud","1475452800000000","1717891200000000","true","1475452800000000","1717540846014000"
"13946","214997115113315793558486017563038129556","4060741400034237214","4060741400034944001","Production","Full-time employee","Cloud AppEng","Cloud","1475452800000000","","true","1475452800000000","1717579327727000"
"13947","98853309396766108951521155448223022","4060741400007151466","4060741400378686793","Production","Full-time employee","Global Delivery","Global Delivery","1608076800000000","","true","1607956201000000","1717604412214000"
"13948","26710934043691077402383398633813166","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1717718400000000","","false","1717672134815000","1717685155263000"
"13949","039654752206140816579628503303275172","4060741400034237214","7770000000000116670","Production","Full-time employee","Data Analytics","Data","1467590400000000","1718841600000000","true","1465912098000000","1717768020172000"
"13950","709566203255448005370612608457838816875143","4000741400001402409","4060741400009046535","Production","Full-time employee","Mobility","Digital Engagement","1717977600000000","","false","1717595584055000","1717815967593000"
"13951","450865327230930338308071026916961138416507","4060741400376470172","4060741400321690541","Production","Full-time employee","Testing","Quality Engineering","1470355200000000","","true","1470319634000000","1717817447766000"
"13952","214997115113315793558486017563038129556","4060741400034237214","4060741400034944001","Production","Full-time employee","Cloud AppEng","Cloud","1475452800000000","1717891200000000","true","1475452800000000","1717821042048000"
"13953","9713891492627760921506199496888493301382687","1013","4060741400403479618","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1660521600000000","","true","1660229400000000","1717821054352000"
"13954","434075848751521682899518802172012461679401546","4060741400007382362","4060741400358394831","Production","Full-time employee","Consulting","Consulting","1717977600000000","","false","1717605420210000","1717825922888000"
"13955","16832903831956808835582041565455507210","8050000000000000147","4060741400044112185","Production","Full-time employee","Experience Engineering","Digital Engagement","1607299200000000","","true","1606996500000000","1718029011582000"
"13956","764469132547363715165447591638281654845257055","1013","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1547424000000000","","true","1542240000000000","1718038542186000"
"13957","467201338683157547147866091770081653055486224","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1444608000000000","1718928000000000","true","1444608000000000","1718057221633000"
"13958","757829756195686794047441992223783111371","1013","4060741400007923316","Production","Full-time employee","Dedicated Delivery","Dedicated Delivery","1508284800000000","","true","1508232255000000","1718057725016000"
"13959","97991193513517427484278465538155184693584","4000741400001402404","4060741400007923318","Production","Full-time employee","Global Delivery","Global Delivery","1627257600000000","","true","1627017900000000","1718058429265000"
