"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"14041","326044757148987926163034462797022131","4000741400001402409","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1608076800000000","","true","1604392217000000","1719841400022000"
"14042","0057418282369181567919070252753114","4000741400001402409","4060741400009046535","Production","Full-time employee","Mobility","Digital Engagement","1625443200000000","","true","1625168401000000","1719885061139000"
"14043","626070271158602225473183926429319803989736874","1013","4060741400007923316","Non-production","Trainee","GDO Office","General and Administrative","1718841600000000","","true","1718364724241000","1719971286299000"
"14044","711466818622170264693696367555462","4060741400376470171","4060741400331163529","Production","Full-time employee","Testing","Quality Engineering","1720051200000000","","false","1720007765040000","1720008833338000"
"14045","626070271158602225473183926429319803989736874","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1718841600000000","","true","1718364724241000","1720051200000000"
"14046","239298823223815643222510872028814281393","4060741400007382353","4060741400007923347","Production","Full-time employee","Dedicated Delivery","Dedicated Delivery","1545004800000000","","true","1544608500000000","1720103402015000"
"14047","4551635218123973742137543625460582522","4000741400001402409","7770000000000488855","Production","Full-time employee","Cloud SysEng","Cloud","1720396800000000","","false","1720182969071000","1720183980872000"
"14048","757829756195686794047441992223783111371","1013","4060741400007923316","Production","Full-time employee","Dedicated Delivery","Dedicated Delivery","1508284800000000","1720137600000000","true","1508232255000000","1720184242671000"
"14049","0104101235099908484697386258003602390476227487466","1013","4060741400007923355","Production","Full-time employee","Digital Marketing","Digital Engagement","1514937600000000","","true","1512740181000000","1720244274877000"
"14050","780599524417016843279402518327587739346","4000741400001402373","4060741400007923331","Production","Full-time employee","Global Delivery","Global Delivery","1720569600000000","","false","1720529105222000","1720530792261000"
"14051","4551635218123973742137543625460582522","4000741400001402409","7770000000000488855","Production","Full-time employee","Cloud SysEng","Cloud","1720396800000000","","true","1720182969071000","1720714140337000"
"14052","59693558314561072129641487854019306875761","4060741400007382351","4060741400338461277","Production","Full-time employee","Salesforce","Digital Engagement","1652659200000000","","true","1652203200000000","1720714142301000"
"14053","0627519947815064143738023146529072105","4060741400010084400","4060741400007923325","Production","Full-time employee","Cloud SysEng","Cloud","1646092800000000","","true","1645605901000000","1720714142745000"
"14054","69400448893019920472067610633952968816843","8050000000000000126","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1499040000000000","","true","1498642574000000","1720714142800000"
"14055","8443695446799842627882440020985571554726704","4060741400010084400","4060741400335399351","Production","Full-time employee","Cloud SysEng","Cloud","1538956800000000","","true","1537344902000000","1720714147095000"
"14056","815748967115993775143779126278416217897","4060741400005179326","4060741400035457637","Production","Full-time employee","Security","Security","1720742400000000","","false","1720102145013000","1720715584873000"
"14057","5014121475878273266515400110793922730709349073","8050000000000000128","4060741400037638134","Production","Full-time employee","Data Analytics","Data","1499040000000000","","true","1498563379000000","1720715587306000"
"14058","58158244079273330664276128028775589385546711","4060741400007382352","7770000000000115524","Production","Full-time employee","Data Analytics","Data","1381795200000000","","true","1380887188000000","1720715587766000"
"14059","7521683805277661491897143641874447293403463523","1013","7770000000000131092","Production","Full-time employee","Data Analytics","Data","1615766400000000","1720915200000000","true","1614946501000000","1720715587837000"
"14060","39185394623498665070958989553253759067149732","1012","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1628467200000000","","true","1622634900000000","1720715616118000"
"14061","7856894066212159202344133557896179649216134","4060741400376470170","4060741400331163529","Production","Full-time employee","Testing","Quality Engineering","1642982400000000","","true","1629376226000000","1720715624883000"
"14062","576481281213166766155785562491788499888326280","1012","4060741400007923366","Production","Full-time employee","Global Delivery","Global Delivery","1623801600000000","","true","1623766204000000","1720715857692000"
"14063","6637729403461380583868032199861636918417698","1012","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1633305600000000","","true","1633099200000000","1720715857893000"
"14064","3754855141863081271813673800173805795662313876","1013","4060741400007923319","Production","Full-time employee","Global Delivery","Global Delivery","1650844800000000","","true","1650461723000000","1720715859688000"
"14065","5140233498883364682580611010919423","4060741400376470170","4060741400331163529","Production","Full-time employee","Testing","Quality Engineering","1555286400000000","","true","1553673300000000","1720769769350000"
"14066","905915340844272809429017834049235229114","4000741400001402409","7770000000000488855","Production","Full-time employee","Cloud SysEng","Cloud","1721001600000000","","false","1720806951234000","1720808033552000"
"14067","0274393228002428955103854883381182328482762","4000741400001402409","4060741400007923316","Production","Full-time employee","Dedicated Delivery","Dedicated Delivery","1531699200000000","","true","1528335900000000","1721012730924000"
"14068","721487304684342193176577802346254839982","4060741400309298944","4060741400007923390","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1658188800000000","","true","1657617301000000","1721040778286000"
"14069","39511041218937524751339123280080296","4060741400005179326","7770000000000169928","Production","Full-time employee","Cloud Run","Cloud","1719792000000000","","true","1716883083726000","1721233760201000"
"14070","59150617195500203406847803789795529301","4060741400007151466","4060741400037637413","Production","Full-time employee","Data Analytics","Data","1721347200000000","","false","1721300470094000","1721301185501000"
"14071","142967063587830203826793722524770605823","4060741400010084400","4060741400007923349","Production","Full-time employee","Cloud SysEng","Cloud","1551052800000000","","true","1549654509000000","1721451013619000"
"14072","878497467659002030948555337352836591211532","4060741400005179328","4060741400378686796","Production","Full-time employee","Data Analytics","Data","1427241600000000","","true","1426789466000000","1721451013991000"
"14073","75758358701559069920166092569216564638714960625","4000741400001402409","4060741400007923323","Non-production","Trainee","Experience Engineering","Digital Engagement","1696809600000000","","true","1696809600000000","1721451015039000"
"14074","50714625744084439189899916036557206066316971","4060741400034237214","4060741400034944001","Production","Full-time employee","Global Delivery","Global Delivery","1627776000000000","","true","1624953300000000","1721451015159000"
"14075","92063555612443186975652886025833143136","4000741400001402409","7770000000000116864","Production","Full-time employee","Cloud AppEng","Cloud","1502841600000000","","true","1500977538000000","1721451015159000"
"14076","213198495979103616555356147108204258199","4060741400007382352","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1335744000000000","","true","1333710379000000","1721451015326000"
"14077","0914774619899062380739697577011137396889594531","4060741400010084400","4060741400007923354","Production","Full-time employee","Cloud SysEng","Cloud","1639353600000000","","true","1633618202000000","1721451015506000"
"14078","7333469260764742093304081382266760205952991405","4060741400007382362","4060741400358394831","Production","Full-time employee","Strategy & Design","Digital Engagement","1651363200000000","","true","1649336103000000","1721451015634000"
"14079","20588098542907474674548443057776836475357626","4060741400034466970","4060741400389506200","Non-production","Full-time employee","Global Business","Sales","1667174400000000","","true","1666626015000000","1721451015812000"
"14080","8211727792896226569765906007401653561123721","1013","4060741400007923319","Production","Full-time employee","Cloud AppEng","Cloud","1505779200000000","","true","1504620736000000","1721451015878000"
"14081","95902073451116897387377572543190650350","4000741400001402410","4060741400007923331","Production","Full-time employee","EngX","Quality Engineering","1623196800000000","","true","1622732101000000","1721451015943000"
"14082","637492792499950659721158385896150290","4060741400005179326","7770000000000116483","Production","Full-time employee","Security","Security","1639958400000000","","true","1638454800000000","1721451016052000"
"14083","47458106464726741555109830195068817739422831","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1610323200000000","","true","1609861800000000","1721451016164000"
"14084","205973953585283380502023572277093681456794","4060741400005179325","7770000000000169925","Production","Full-time employee","Mobility","Digital Engagement","1670198400000000","","true","1669972200000000","1721451016381000"
"14085","980574690482107049595543885745988930822626612587","1013","7770000000000115522","Production","Full-time employee","Data Analytics","Data","1612137600000000","","true","1611645600000000","1721451016595000"
"14086","2148707391691952231088112084027443919","1012","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1641168000000000","","true","1640689200000000","1721451016891000"
"14087","87695141490498874328098033240825815271006","4000741400001402409","4060741400007923370","Production","Full-time employee","Global Delivery","Global Delivery","1556755200000000","","true","1556549138000000","1721451017106000"
"14088","7445085345172402714197354194167373183","4060741400010086938","7770000000000159415","Production","Full-time employee","Intelligent Automation","Intelligent Enterprise","1470009600000000","1722384000000000","true","1469775614000000","1721451017161000"
"14089","9407479159204184707852916838914102677892","4000741400001402409","4060741400347222901","Production","Full-time employee","Mobility","Digital Engagement","1619395200000000","","true","1619223603000000","1721451017161000"
"14090","30583982371127616755972933600876120919842","4060741400376470172","4060741400381343727","Production","Full-time employee","Testing","Quality Engineering","1448928000000000","","true","1448287240000000","1721451017544000"
"14091","497965269781135515017432779729851383758","4060741400034237216","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1447632000000000","","true","1447632000000000","1721451017658000"
"14092","80282663288866800107989242725855899","4060741400005179325","7770000000000169925","Production","Extended leave","Global Delivery","Global Delivery","1495411200000000","","true","1493882656000000","1721451017716000"
"14093","203459793134961303793258410300103217376815286","4060741400005179325","7770000000000169925","Production","Full-time employee","Intelligent Automation","Intelligent Enterprise","1656633600000000","1722211200000000","true","1656633600000000","1721451017908000"
"14094","4477297455451080033641678050300389169","4060741400376470171","4060741400331163529","Production","Full-time employee","Testing","Quality Engineering","1642377600000000","","true","1640719800000000","1721451018036000"
"14095","246681961772686699208551562279218969026","4000741400001402409","7770000000000115522","Production","Full-time employee","Data Analytics","Data","1617062400000000","1721779200000000","true","1616667900000000","1721451018178000"
"14096","651588429545570810815776995100437962419359","4060741400006707511","4060741400007931773","Non-production","Maternity leave","Post-Acquisition Integration","Post-Acquisition Integration","1711065600000000","","true","1711065600000000","1721451018357000"
"14097","508929486091307483578595998378657867008669","4060741400010084401","7770000000000148669","Production","Full-time employee","Data Analytics","Data","1610323200000000","","true","1608106200000000","1721451018521000"
"14098","34292584745107095658975568183827323725","4060741400335633828","4060741400374675663","Production","Full-time employee","Strategy & Design","Digital Engagement","1641772800000000","","true","1641316200000000","1721451018586000"
"14099","4614301085213251246171762158583264578850","4000741400001402409","7770000000000115522","Production","Full-time employee","Data Analytics","Data","1602547200000000","","true","1601891700000000","1721451018847000"
"14100","11698707161679531164656359293701059","4060741400335633826","4060741400007923399","Production","Full-time employee","Strategy & Design","Digital Engagement","1635897600000000","","true","1635897600000000","1721451018906000"
"14101","0227738775246614365252626695708004296015785","4060741400010084399","4060741400007923354","Production","Full-time employee","Cloud SysEng","Cloud","1626307200000000","","true","1618317301000000","1721451019944000"
"14102","41858505167197046402767193031633349788839584","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1153094400000000","1722384000000000","true","1153094400000000","1721451020018000"
"14103","34728602626411107649186307413313841605","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1652659200000000","","true","1651599001000000","1721451020238000"
"14104","574571344326396168643710443291622475273","4000741400001402409","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1683158400000000","","true","1681939826905000","1721451020362000"
"14105","2015358703338905274772761722192165849","4060741400007151466","4060741400037637413","Production","Full-time employee","Data Analytics","Data","1666569600000000","","true","1666105213000000","1721451020422000"
"14106","0276830225821326128110802715631206519429972188","1013","4060741400007923359","Production","Full-time employee","Cloud AppEng","Cloud","1541980800000000","","true","1541775300000000","1721451020606000"
"14107","491054623545993134840293453213810822945394","4060741400005179325","7770000000000169925","Production","Full-time employee","Experience Engineering","Digital Engagement","1679011200000000","","true","1678959000000000","1721451020607000"
"14108","51210672173734597380546461566416214217521","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1384819200000000","","true","1384819200000000","1721451021500000"
"14109","843461132528656027189066301731472216437344","1013","4060741400347222901","Production","Full-time employee","Mobility","Digital Engagement","1607299200000000","","true","1598918400000000","1721451021802000"
"14110","7634622843817732062153785007788573358","4060741400007151466","4060741400049417778","Production","Full-time employee","Data Analytics","Data","1633910400000000","","true","1633536900000000","1721451021855000"
"14111","71828574552939776540932084708682531911","4060741400335633829","4060741400007923425","Production","Full-time employee","Strategy & Design","Digital Engagement","1664236800000000","","true","1663683600000000","1721451021855000"
"14112","3323024529631512718064483984290854808846","4060741400007382351","4060741400007923308","Production","Full-time employee","Global Delivery","Global Delivery","1630886400000000","1722384000000000","true","1630509301000000","1721451021969000"
"14113","41220504294588669678751500567010120717021807","4000741400001402409","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1551139200000000","","true","1540771200000000","1721451022094000"
"14114","8561833094267448101106746591589457074874673","4000741400001402409","4060741400009156249","Production","Full-time employee","Cloud AppEng","Cloud","1635120000000000","","true","1634727600000000","1721451022811000"
"14115","09292379004179628946200168089565137339072","4060741400005179325","4060741400378875268","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1694131200000000","","true","1693896567306000","1721451023021000"
"14116","599622371813309114960244787214067043551455","4060741400309298944","4060741400007923380","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1525651200000000","","true","1524213600000000","1721451023254000"
"14117","982355149667565163262122065045597895","4060741400309298944","4060741400007923380","Production","Subcontractor","Enterprise Apps","Intelligent Enterprise","1666569600000000","","true","1665478200000000","1721451023305000"
