"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"14492","6600537343459920087064189215978824074219","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1627862400000000","1730419200000000","true","1621579815000000","1730492034601000"
"14493","0511405690376034963112289786575593522729152","1013","4060741400007923323","Production","Extended leave","Experience Engineering","Digital Engagement","1641254400000000","","true","1640268901000000","1730638227973000"
"14494","2637594658419524291605690935793264847","1013","4060741400037639173","Production","Full-time employee","Experience Engineering","Digital Engagement","1561939200000000","","true","1561549525000000","1730735481861000"
"14495","62898899459959203475662808025270795801691","4060741400034237214","4060741400007923331","Production","Full-time employee","Intelligent Automation","Intelligent Enterprise","1635724800000000","","true","1635332101000000","1730765948727000"
"14496","95201569340643743692909812758516976527","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1378684800000000","","true","1375252577000000","1730806847341000"
"14497","984488812333140422420420888527084216080","4060741400326561491","4060741400042295733","Non-production","Full-time employee","People Operations","General and Administrative","1320710400000000","","true","1320710400000000","1730851325205000"
"14498","6034279321407239336790436835708898735","4060741400007151463","4060741400037637413","Production","Full-time employee","Data Analytics","Data","1625097600000000","","true","1624263607000000","1730887541846000"
"14499","670472282485324322922363051354326681","1012","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1633910400000000","","true","1625788800000000","1730901712553000"
"14500","4288095757488459094631664998115608061644491","1013","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1615939200000000","","true","1611674400000000","1730935306205000"
"14501","654569347389584773101649697252811","4000741400001402404","4060741400007923318","Production","Full-time employee","Commerce","Digital Engagement","1538956800000000","","true","1537967401000000","1730996052314000"
"14502","949012346357543064814116066071867951641163","4060741400005179325","7770000000000169925","Production","Full-time employee","Salesforce","Digital Engagement","1648771200000000","","true","1646737200000000","1731000710807000"
"14503","74246141117586869063883557197138400850859","1013","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1515369600000000","","true","1507188984000000","1731022723681000"
"14504","43045272347820539653130894480324688957868","4000741400001402409","4060741400007923344","Production","Full-time employee","Global Delivery","Global Delivery","1593993600000000","1731024000000000","true","1590364800000000","1731096829050000"
"14505","9229301840522403846173972099807157872260","4060741400309298943","4060741400034028462","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1574640000000000","1731024000000000","true","1574334600000000","1731104035445000"
"14506","4609156481088537231966883416778379774908351745","4060741400007382351","4060741400007923415","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1333929600000000","","true","1324473502000000","1731271785700000"
"14507","56390414109859746082811645973297811063743","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1731283200000000","","false","1730972569072000","1731276068350000"
