"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"13856","420710230877231944237067716411389102760","1013","4060741400007923359","Production","Subcontractor","Global Delivery","Global Delivery","1714608000000000","","false","1714048040318000","1714521724765000"
"13857","0177229414776522213987322016721078485","1013","4060741400007923359","Production","Subcontractor","Global Delivery","Global Delivery","1714608000000000","","false","1713953987234000","1714521735217000"
"13858","9493709691761691248388863357565428230406","4000741400001402409","4060741400378686793","Production","Full-time employee","Data Analytics","Data","1715040000000000","","false","1714641064370000","1714642488707000"
"13859","5601380422091182239140381168094850071519185","4060741400007382351","4060741400331163529","Production","Full-time employee","Testing","Quality Engineering","1396310400000000","","true","1396310400000000","1714728807133000"
"13860","7330592182945974379669162287659100294","4060741400005179326","7770000000000116063","Production","Full-time employee","Salesforce","Digital Engagement","1697155200000000","1715731200000000","true","1696275848313000","1714752068753000"
"13861","519952321142597524973477067212118301201","4000741400001402409","7770000000000115522","Production","Full-time employee","Data Analytics","Data","1715040000000000","","false","1714729669356000","1714881966358000"
"13862","2127591537272909565483453031698890412325","4000741400001402409","4060741400347222901","Production","Full-time employee","Experience Engineering","Digital Engagement","1565568000000000","","true","1564740075000000","1714985209132000"
"13863","214490071673774209075945105656957906653757","4000741400001402409","4060741400007923339","Production","Full-time employee","Experience Engineering","Digital Engagement","1715040000000000","","false","1714988227931000","1714989234773000"
"13864","756661631607762090758176003299881574877","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1667347200000000","","true","1666771817000000","1715075343167000"
"13865","9854704041703975226022905410895443404","1013","4060741400007931773","Production","Full-time employee","Data Analytics","Data","1691452800000000","","true","1691452800000000","1715075974060000"
"13866","5775285164183163042550801574458","1012","4060741400311878691","Production","Full-time employee","Commerce","Digital Engagement","1691971200000000","","true","1691660111522000","1715076625104000"
"13867","52402380852377217466620445281990436239987","4060741400036269806","4060741400015946691","Non-production","Part-time employee","Talent Acquisition","General and Administrative","1661990400000000","","true","1661270100000000","1715077316859000"
