"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"13644","4684344828008275660118792836046125251690372","1013","4060741400009156249","Production","Full-time employee","Cloud SysEng","Cloud","1709510400000000","","false","1709289232463000","1709290429305000"
"13645","9194088216198341524602096002217317657391","4060741400005179325","7770000000000169925","Production","Full-time employee","Strategy & Design","Digital Engagement","1607904000000000","","true","1607020500000000","1709366052113000"
"13646","8192768408600863606234610598859300654363461","4060741400005179325","7770000000000169925","Production","Full-time employee","Digital Marketing","Digital Engagement","1654041600000000","","true","1654041600000000","1709366353768000"
"13647","83667978245102716740567575802144649637430","8050000000000000127","4060741400007923319","Production","Full-time employee","Cloud AppEng","Cloud","1587340800000000","","true","1586874600000000","1709366589106000"
"13648","6828539613163759645168889736609257","1011","4060741400007923339","Production","Full-time employee","Global Delivery","Global Delivery","1674172800000000","","true","1674045600000000","1709366598234000"
"13649","756631187004565615012099100381454452515056537","4060741400005179327","4060741400007923354","Production","Full-time employee","Security","Security","1709510400000000","","false","1708943760419000","1709424177046000"
"13650","0138603830744884194127634124504758821","4060741400010084400","4060741400007923354","Production","Full-time employee","Cloud SysEng","Cloud","1638316800000000","","true","1637094319000000","1709603509062000"
"13651","78470736044759248885815087864831461","1013","4060741400007923366","Production","Full-time employee","Experience Engineering","Digital Engagement","1502064000000000","","true","1501768818000000","1709603851621000"
"13652","219836475378071113918639574162126739753209644868","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1654041600000000","","true","1654041600000000","1709711588068000"
"13653","34596369348447640860009240581926604882803","1013","4060741400007923308","Production","Full-time employee","Global Delivery","Global Delivery","1634515200000000","","true","1634130900000000","1709723402918000"
"13654","204451418635267760167551585590562836622","4060741400010084400","4060741400050999655","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1412553600000000","","true","1412023704000000","1709737187879000"
"13655","036300247523209242879675199932992471980","4060741400309298944","4060741400034028462","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1710115200000000","","false","1709812264420000","1709813634640000"
"13656","685397468248906535493107660034095098","4060741400334097632","4060741400376314386","Non-production","Full-time employee","People Management","General and Administrative","1415577600000000","","true","1415368823000000","1709838448501000"
"13657","698697331186208073311028112493894717","4060741400010085671","4060741400050999655","Production","Extended leave","Cloud Run","Cloud","1616371200000000","","true","1615745706000000","1709929614643000"
"13658","10234645012947348721639036133491011457","4060741400010084401","4060741400007923339","Production","Full-time employee","Mobility","Digital Engagement","1689552000000000","1711065600000000","true","1688500826860000","1709938347175000"
"13659","560023994665553727536736845503994173142","1013","4060741400007923308","Production","Full-time employee","Dedicated Delivery","Dedicated Delivery","1710979200000000","","false","1709949869381000","1709952653163000"
"13660","9630681817795259298009890712962087415673","4000741400001402409","4060741400009046535","Production","Full-time employee","Mobility","Digital Engagement","1710115200000000","","false","1709626440352000","1710036856403000"
"13661","73087393836126169629193814609170884949","4060741400036269807","4060741400015946691","Non-production","Full-time employee","Talent Acquisition","General and Administrative","1648771200000000","","true","1647615600000000","1710343545827000"
"13662","108606631101542616968242256014452527866964154398","4060741400036269806","4060741400015946691","Non-production","Full-time employee","Talent Acquisition","General and Administrative","1652659200000000","","true","1652088301000000","1710344362476000"
"13663","5867682432601393982582783259101761256234","1012","7770000000001943902","Production","Full-time employee","Global Delivery","Global Delivery","1631664000000000","","true","1626739200000000","1710429187174000"
"13664","518621384916524496365692708913974196956","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1624233600000000","1710720000000000","true","1624233600000000","1710463678551000"
"13665","1233151765484181286187072633214491349","4060741400010084401","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1635811200000000","","true","1635328801000000","1710763562577000"
"13666","980445654202637711387815416503192169","4060741400007151463","4060741400037637413","Production","Full-time employee","Data Analytics","Data","1650240000000000","","true","1650014703000000","1710813101182000"
"13667","5508015845590425962872664016593194944490628","4060741400009609048","7770000000000116670","Production","Full-time employee","Data Analytics","Data","1191628800000000","","true","1191628800000000","1710850822296000"
"13668","50443513614298752992666012304515608729824461","4000741400001402375","4060741400007923347","Production","Full-time employee","Global Delivery","Global Delivery","1180915200000000","","true","1180703050000000","1710851566115000"
"13669","8377486420448151289289656117550678022695","1013","4060741400007923366","Production","Full-time employee","Experience Engineering","Digital Engagement","1309737600000000","","true","1309174212000000","1710851684526000"
"13670","9799526357649803827989000009070087866225","4060741400005179325","4060741400378686796","Production","Full-time employee","Data Analytics","Data","1660521600000000","","true","1659967800000000","1710851802808000"
"13671","226458192194347286478250557607207243607418","4060741400007382361","4060741400358394831","Production","Full-time employee","Intelligent Automation","Intelligent Enterprise","1351728000000000","","true","1351497259000000","1710851896110000"
