"_offset","id","is_active","is_primary","is_key","is_key_reason","type","name","url","parent_id","_created_micros","_updated_micros"
"1066854","4060741400007930499","true","false","false","","Skill","Adobe TestTarget","https://www.adobe.io/apis/experiencecloud/target.html","4060741400006888289","1577836800000000","1720791106915000"
"1066722","4060741400009546417","true","false","false","","Skill","KISSmetrics","https://www.tutorialspoint.com/web_analytics/web_analytics_kissmetrics.htm","4060741400006888289","1577836800000000","1720791106915000"
"1066872","4060741400035130276","true","false","false","","Skill","Google Tag Manager","","4060741400006888289","1577836800000000","1720791106915000"
"1067238","4060741400347222842","true","false","false","","Skill","FDA Guidance","https://www.fda.gov/about-fda/center-drug-evaluation-and-research-cder/good-clinical-practice","7770000000002481414","1577836800000000","1721388086470000"
"1068007","4060741400401702064","true","false","false","","Skill","Microsoft Dynamics 365 Retail","https://www.confiz.com/microsoft-dynamics-retail","4060741400401702040","1597316031042000","1721995519770000"
"1067755","7770000000000107664","true","false","false","","Skill","CSS Preprocessors","https://www.innominds.com/blog/quick-guide-to-css-preprocessors","7770000000000101404","1577836800000000","1721995519770000"
"1066934","7770000000000109374","true","false","false","","Skill","Amazon Rekognition","https://en.wikipedia.org/wiki/Amazon_Rekognition","7770000000000113146","1597740814774000","1720791106915000"
"1067775","7770000000000109485","true","false","false","","Skill","iOS Local System Notifications","https://developer.apple.com/library/archive/documentation/NetworkingInternet/Conceptual/RemoteNotificationsPG/","7770000000000111713","1577836800000000","1721995519770000"
"1067478","7770000000000114655","true","false","false","","Skill","PhotoKit","https://developer.apple.com/videos/play/wwdc2021/10160/","7770000000000111713","1605700676841000","1721995519770000"
"1066696","7770000000000116448","false","false","false","","Skill","OTC medications","","","1620305350115000","1720791106915000"
"1067636","7770000000000116480","true","true","true","","Competency","Security.Development","","7770000000000107736","1620914459611000","1721995519770000"
"1066250","7770000000000116517","true","false","false","","Skill","Collaborating with Resource Management Organization","","7770000000000116515","1620996874791000","1720178120510000"
"1067424","4060741400003170424","true","false","false","","Skill","Talent Sourcing","","4060741400389506204","1577836800000000","1721995519770000"
"1067015","4060741400004632853","true","false","false","","Skill","Google AdWords Marketing","","4060741400006888289","1577836800000000","1720791106915000"
"1068059","4060741400034659606","false","false","false","","Skill","Protein Profile Analysis","","","1577836800000000","1721995519770000"
"1067558","4060741400035457637","true","true","true","","Competency","Security.Engineering","","7770000000000107736","1577836800000000","1721995519770000"
"1066465","4060741400041082161","true","false","false","","Skill","React Native","https://reactnative.dev/","7770000000000112158","1577836800000000","1720178120510000"
"1067116","4060741400050585323","true","false","false","","Skill","ReactiveCocoa","https://www.raywenderlich.com/2493-reactivecocoa-tutorial-the-definitive-introduction-part-1-2","4060741400007930505","1577836800000000","1721388086470000"
"1067190","4060741400347798721","true","false","false","","Skill","HIPAA","https://en.wikipedia.org/wiki/Health_Insurance_Portability_and_Accountability_Act","7770000000002481414","1577836800000000","1721388086470000"
"1067054","4060741400366057743","true","false","false","","Skill","Django Rest Framework","https://www.django-rest-framework.org/","4060741400007301726","1577836800000000","1721131341437000"
"1067358","4060741400376069122","true","true","true","","Competency","MuleSoft","https://www.mulesoft.com/","7770000000000109843","1577836800000000","1721388086470000"
"1066833","4060741400389400718","true","false","false","","Skill","Google AdWords API","","4060741400006888289","1577836800000000","1720791106915000"
"1066331","4060741400391830645","true","false","false","","Skill","Combine [framework]","https://developer.apple.com/documentation/combine","7770000000000111713","1577836800000000","1720178120510000"
"1067530","4060741400397268100","true","false","false","","Skill","Fastlane","https://blog.codemagic.io/using-fastlane-with-codemagic/","4060741400007197474","1597316031042000","1721995519770000"
"1067831","4060741400401428524","true","false","true","","Skill","Pandas","https://en.wikipedia.org/wiki/Pandas_(software)","7770000000000520363","1597316031042000","1721995519770000"
"1068069","4060741400401702060","true","false","false","","Skill","Microsoft Dynamics 365 Product Visualize","https://dynamics.microsoft.com/en-us/mixed-reality/product-visualize/","4060741400401702040","1597316031042000","1721995519770000"
"1066156","4060741400409298926","true","false","false","","Skill","Palantir Platform","https://finance.yahoo.com/news/palantir-alixpartners-join-forces-help-105900784.html","4060741400008077175","1602859587201000","1720178120510000"
"1067743","7770000000000100896","true","false","false","","Skill","Firestore in Datastore Mode","https://cloud.google.com/datastore/docs/firestore-or-datastore","4060741400362757041","1601758141243000","1721995519770000"
"1066144","7770000000000101014","false","false","false","","Competency","Remote Safely","https://solutionshub.epam.com/solution/remote-red-room","","1602194242383000","1720178120510000"
"1066513","7770000000000108351","true","false","false","","Skill","HandOff","https://www.gapintelligence.com/blog/embracing-handoffs-on-a-distributed-software-dev-team/","7770000000000111713","1577836800000000","1720178120510000"
"1066803","7770000000000113293","true","false","false","","Skill","SAP CO: Product Costing","https://www.tutorialspoint.com/sap_fico/sap_co_product_costing.htm","7770000000000103773","1577836800000000","1720791106915000"
"1066688","7770000000000115709","true","false","false","","Skill","Hybrid Recommender Systems","","7770000000000110948","1616767090287000","1720791106915000"
"1066710","7770000000000116758","true","false","false","","Competency","Individual Whole Life","","7770000000002719932","1623055988637000","1720791106915000"
"1066714","7770000000000116760","true","false","false","","Competency","Group Life Insurance","https://www.investopedia.com/terms/g/group-life-insurance.asp","7770000000002719928","1623056027371000","1720791106915000"
"1067653","7770000000000116780","true","false","false","","Competency","Private Health Insurance","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwipvvr594D5AhVcg_0HHVIXDVMQFnoECAsQAw&url=https%3A%2F%2Fwww.associationhealthplans.com%2Fglossary%2Fprivate-health-insurance%2F&usg=AOvVaw2oRD70BCKoBCCNW1TgfCHp","7770000000000116765","1623183328698000","1721995519770000"
